district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E07000167,Ryedale,LAD,England,1506.6267810393615,54.21059352263606,-0.8522949592896027
E07000168,Scarborough,LAD,England,816.6133914016566,54.366516222561785,-0.6373369480171202
E07000169,Selby,LAD,England,599.2902128758302,53.787170482318594,-1.13517909541092
E07000170,Ashfield,LAD,England,109.5497669111779,53.09228242640968,-1.259157540399091
E07000171,Bassetlaw,LAD,England,637.852264294466,53.332829283265326,-0.9593490927640698
E07000172,Broxtowe,LAD,England,80.13242768322208,52.97647048200647,-1.2621123914132568
E07000173,Gedling,LAD,England,119.96470151311017,53.02839901683333,-1.1193550204991651
E07000174,Mansfield,LAD,England,76.66730229371183,53.170721357508114,-1.172775959036632
E07000175,Newark and Sherwood,LAD,England,651.3611199370927,53.12393725455099,-0.9198477472197445
E07000176,Rushcliffe,LAD,England,409.2349206936663,52.90086471137169,-1.037517688450015
E07000177,Cherwell,LAD,England,588.7283194542256,51.95890680786042,-1.2758550387569618
E07000178,Oxford,LAD,England,45.62194669754245,51.75460815078325,-1.2409715295373525
E07000179,South Oxfordshire,LAD,England,678.4385757516105,51.63386768470185,-1.071480221946007
E07000180,Vale of White Horse,LAD,England,578.6878464088105,51.63422818976113,-1.4415818309413861
E07000181,West Oxfordshire,LAD,England,714.4246544457349,51.83766361536415,-1.5068593086767295
E07000187,Mendip,LAD,England,739.3932166861919,51.20288922371181,-2.5445463984304224
E07000188,Sedgemoor,LAD,England,564.3656662265947,51.17990723596346,-2.9464950316366676
E07000189,South Somerset,LAD,England,959.0139422039564,50.98810679278749,-2.7095557034051847
E07000190,Taunton Deane,LAD,England,462.31791110135333,51.01050040833428,-3.1573040267008565
E07000191,West Somerset,LAD,England,726.950347699126,51.131795457213315,-3.49680241899825
E07000192,Cannock Chase,LAD,England,78.89248886600086,52.71240685099618,-1.9802317112002734
E07000193,East Staffordshire,LAD,England,389.98801996583927,52.86334020676278,-1.8122668257393033
E07000194,Lichfield,LAD,England,331.27005847975835,52.6882075951967,-1.804980729004612
E07000195,Newcastle-under-Lyme,LAD,England,210.96277057748716,52.99318087487387,-2.318748634274032
E07000196,South Staffordshire,LAD,England,407.32732780372874,52.625577445068274,-2.176672325240626
E07000197,Stafford,LAD,England,598.186618238341,52.848188525266536,-2.1764852912137123
E07000198,Staffordshire Moorlands,LAD,England,575.8249328581087,53.07939054700821,-1.9812604561209557
E07000199,Tamworth,LAD,England,30.856867397305763,52.626424751852205,-1.6778592209215493
E07000200,Babergh,LAD,England,595.2654871440416,52.052897220667205,0.9079204964339553
E07000201,Forest Heath,LAD,England,377.75995506291594,52.3548085865355,0.5315824987574499
E07000202,Ipswich,LAD,England,39.42904395363539,52.05636143816641,1.1597569670513974
E07000203,Mid Suffolk,LAD,England,871.0334351768239,52.246875973311795,1.0925818591023684
E07000204,St Edmundsbury,LAD,England,656.9601512574394,52.23349476381657,0.6744386883516211
E07000205,Suffolk Coastal,LAD,England,891.4695099463128,52.165250253686494,1.4115043599217296
E07000206,Waveney,LAD,England,369.79568352043896,52.41875048287725,1.5827568425418093
E07000207,Elmbridge,LAD,England,96.3052011492889,51.35714549782705,-0.39217114073335935
E07000208,Epsom and Ewell,LAD,England,34.11871980816079,51.339161718159644,-0.2614371649804059
E07000209,Guildford,LAD,England,270.9827711774601,51.24779379426272,-0.5616581652128807
E07000210,Mole Valley,LAD,England,258.30452209901654,51.212315690539796,-0.3251188333657242
E07000211,Reigate and Banstead,LAD,England,129.12817734239297,51.25323086658892,-0.1918732784804521
E07000212,Runnymede,LAD,England,78.05360132013138,51.3937860969344,-0.5413570357806032
E07000213,Spelthorne,LAD,England,51.167087908807176,51.424802949502,-0.4680136526622971
E07000214,Surrey Heath,LAD,England,95.0725153057064,51.34293096770503,-0.6705366588480383
E07000215,Tandridge,LAD,England,248.19589694883325,51.227077924405954,-0.04339912875510092
E07000216,Waverley,LAD,England,345.1856668369439,51.14979990363934,-0.6327164631690322
E07000217,Woking,LAD,England,63.567750123085496,51.31389137119141,-0.560720970976843
E07000218,North Warwickshire,LAD,England,284.2712795317744,52.54754918370021,-1.6280275448995294
E07000219,Nuneaton and Bedworth,LAD,England,78.97492469798331,52.501122831689834,-1.475876340716766
E07000220,Rugby,LAD,England,353.51665709356877,52.384435253677566,-1.3283556492496806
E07000221,Stratford-on-Avon,LAD,England,977.8851388868954,52.17879793072784,-1.6229544564499083
E07000222,Warwick,LAD,England,282.8822000764582,52.31000239880441,-1.5846938178063812
E07000223,Adur,LAD,England,41.81204191442297,50.8450548889957,-0.29944036544683833
E07000224,Arun,LAD,England,220.73915525667846,50.84162957591795,-0.5674590005647091
E07000225,Chichester,LAD,England,786.2443675304306,50.941993269074096,-0.7373985930964955
E07000226,Crawley,LAD,England,44.96947388025374,51.12548082576494,-0.18201473072787458
E07000227,Horsham,LAD,England,530.2663049216359,50.993936213815935,-0.36617484898042724
E07000228,Mid Sussex,LAD,England,333.99639865353646,51.02092928129158,-0.12693691232247217
E07000229,Worthing,LAD,England,32.46691853314934,50.830046373019,-0.3963299799852025
E07000234,Bromsgrove,LAD,England,217.02126481311998,52.361757485337336,-2.0160064658198094
E07000235,Malvern Hills,LAD,England,577.0792549417979,52.182954786995836,-2.3450272991042227
E07000236,Redditch,LAD,England,54.26374139460983,52.28228214731653,-1.9518387773548005
E07000237,Worcester,LAD,England,33.29568171644149,52.196687329831335,-2.2113171862311365
E07000238,Wychavon,LAD,England,663.4433513659783,52.1643038179901,-2.0510744681851394
E07000239,Wyre Forest,LAD,England,195.4165214063066,52.37957368152999,-2.2746277681256863
E07000240,St Albans,LAD,England,161.22465712282423,51.77209466082588,-0.34248942975609226
E07000241,Welwyn Hatfield,LAD,England,129.492273813636,51.766913868735585,-0.19412658379340622
E07000242,East Hertfordshire,LAD,England,475.71217210971906,51.86509694639306,-0.008224265896406967
E07000243,Stevenage,LAD,England,25.952354390067455,51.90434829403111,-0.1893409586739157
E08000001,Bolton,LAD,England,139.79898295514977,53.578634004421225,-2.466968016945668
E08000002,Bury,LAD,England,99.50036133814172,53.5878310422993,-2.312534043759604
E08000003,Manchester,LAD,England,115.55779543036735,53.45153919420718,-2.2324767924537903
E08000004,Oldham,LAD,England,142.34903610807646,53.55187670496467,-2.050630427603254
E08000005,Rochdale,LAD,England,158.11600839328509,53.6165762403044,-2.157813586357184
E08000006,Salford,LAD,England,97.17985366475953,53.48951628100651,-2.3700978001702278
E08000007,Stockport,LAD,England,126.06894542422162,53.39396738881701,-2.128123793489689
E08000008,Tameside,LAD,England,103.16302693052924,53.47747048699929,-2.0628206716151256
E08000009,Trafford,LAD,England,106.00860941237741,53.41899096567365,-2.3553300843037306
E08000010,Wigan,LAD,England,188.17439911954284,53.52415539021945,-2.5895260011979695
E08000011,Knowsley,LAD,England,86.53517203241574,53.425163393762276,-2.834092371342592
E08000012,Liverpool,LAD,England,111.82904162686359,53.40393544108167,-2.9166959641402013
E08000013,St. Helens,LAD,England,136.4108433525604,53.4594874006327,-2.7236043626119417
E08000014,Sefton,LAD,England,153.1020686085433,53.5497733666131,-3.003972748824025
E08000015,Wirral,LAD,England,157.06156795478995,53.36328824737006,-3.069735334413872
E08000016,Barnsley,LAD,England,329.12929401136665,53.53582542654172,-1.5325274218141094
E08000017,Doncaster,LAD,England,568.0181907354334,53.54427833049489,-1.0957614761110233
E08000018,Rotherham,LAD,England,286.49132528080685,53.40864567610203,-1.286238563338526
E08000019,Sheffield,LAD,England,367.89149627675005,53.40443573419279,-1.5504871142104246
E08000021,Newcastle upon Tyne,LAD,England,113.43304866289704,55.00826930868544,-1.6582619614980645
E08000022,North Tyneside,LAD,England,82.3586633448984,55.0283648327202,-1.5192557223651133
E08000023,South Tyneside,LAD,England,64.45430662379775,54.96275409231755,-1.4444425789940243
E08000024,Sunderland,LAD,England,137.39260227725154,54.879949013905296,-1.45271421427324
E08000025,Birmingham,LAD,England,267.75528740493155,52.48860046448871,-1.874689093471885
E08000026,Coventry,LAD,England,98.62408398521099,52.41686588446185,-1.5197866232812909
E08000027,Dudley,LAD,England,97.94089466756476,52.48286218710391,-2.108745168877462
E08000028,Sandwell,LAD,England,85.59566348957145,52.51543811131056,-2.008963246918617
E08000029,Solihull,LAD,England,178.27543843022147,52.413117440411796,-1.7270651680225042
E08000030,Walsall,LAD,England,103.99729010541694,52.59925938312226,-1.9663247740632077
E08000031,Wolverhampton,LAD,England,69.44060462311982,52.58919711380403,-2.1209976530156722
E08000032,Bradford,LAD,England,366.3923659960611,53.844705549477766,-1.8547189113188736
E08000033,Calderdale,LAD,England,363.9461747837663,53.7211850306649,-1.973459603520843
E08000034,Kirklees,LAD,England,408.51484648046755,53.62737989546103,-1.7632289443139695
E08000035,Leeds,LAD,England,551.8118530114364,53.82575837795721,-1.5060168642202783
E08000036,Wakefield,LAD,England,338.5758152651525,53.660655749842455,-1.4118014831652532
E08000037,Gateshead,LAD,England,142.34712860666664,54.934967840697894,-1.6832824866633616
E09000001,City of London,LAD,England,2.89962229323271,51.51484635006207,-0.09217033240020918
E09000002,Barking and Dagenham,LAD,England,36.10815460939179,51.54527579618733,0.13350893317747348
E09000003,Barnet,LAD,England,86.79965690868438,51.61602799104802,-0.21000806147932108
E09000004,Bexley,LAD,England,60.597449065593885,51.4588213563389,0.14034621986209692
E09000005,Brent,LAD,England,43.223362339214525,51.558562653663834,-0.26783380270931983
E09000006,Bromley,LAD,England,150.12530413735533,51.371988202876864,0.05155225806628689
E09000007,Camden,LAD,England,21.807902869533144,51.54638170765395,-0.15742163298895726
E09000008,Croydon,LAD,England,86.53566806518377,51.355343340837635,-0.0871564859270102
E09000009,Ealing,LAD,England,55.53862019845003,51.52249091288701,-0.33099550030259
E09000010,Enfield,LAD,England,82.17133020251147,51.65100727571223,-0.08725198998511884
E09000011,Greenwich,LAD,England,47.305862693096046,51.4728175611682,0.056288798087880024
E09000012,Hackney,LAD,England,19.056242571242517,51.55224555819412,-0.06337953351150435
E09000013,Hammersmith and Fulham,LAD,England,16.3835002884781,51.4959770149596,-0.2213187391471043
E09000014,Haringey,LAD,England,29.60390973324701,51.590372407802214,-0.10743966248623002
E09000015,Harrow,LAD,England,50.44349105301927,51.59772857379861,-0.3412711326703137
E09000016,Havering,LAD,England,112.34185227234481,51.56439205998066,0.22109299218255246
E09000017,Hillingdon,LAD,England,115.72596936390097,51.541495757219806,-0.4456621633198443
E09000018,Hounslow,LAD,England,55.972287683913244,51.468390206371105,-0.3670940586711292
E09000019,Islington,LAD,England,14.832808726606322,51.54849461495776,-0.11029259107930738
E09000020,Kensington and Chelsea,LAD,England,12.135097838653216,51.50161860947079,-0.19276726498362098
E09000021,Kingston upon Thames,LAD,England,37.275509826959386,51.38790945302527,-0.2869145506507719
E09000022,Lambeth,LAD,England,26.79794166673955,51.45310209354745,-0.11826574256457954
E09000023,Lewisham,LAD,England,35.18884378372242,51.448101204325816,-0.020235293599768382
E09000024,Merton,LAD,England,37.628570822052346,51.409957259138686,-0.19723981853659278
E09000025,Newham,LAD,England,36.20059245486017,51.528353927590274,0.03638055939898359
E09000026,Redbridge,LAD,England,56.412461716613564,51.585677359825674,0.0758654011990492
E09000027,Richmond upon Thames,LAD,England,57.36926765607324,51.4421777031026,-0.31298806575181853
E09000028,Southwark,LAD,England,28.84535179198673,51.473135793777686,-0.07460841439227761
E09000029,Sutton,LAD,England,43.83589846369725,51.3620969085396,-0.17757760824925328
E09000030,Tower Hamlets,LAD,England,19.766790096909702,51.517193493847316,-0.03560596473640996
E09000031,Waltham Forest,LAD,England,38.82200993818363,51.59404232351642,-0.012637016144733499
E09000032,Wandsworth,LAD,England,34.269845333377106,51.451363060684066,-0.18643465987968869
E09000033,Westminster,LAD,England,21.46075428408704,51.51388565711202,-0.16128313943965633
S12000005,Clackmannanshire,LAD,Scotland,158.9885695700262,56.15209337936731,-3.740335738023716
S12000006,Dumfries and Galloway,LAD,Scotland,6437.637001301803,55.07711702820089,-3.960622572802839
S12000008,East Ayrshire,LAD,Scotland,1270.3798582273355,55.48535602049036,-4.314350572949585
S12000010,East Lothian,LAD,Scotland,679.2541077076228,55.93984721607855,-2.7204336294712923
S12000011,East Renfrewshire,LAD,Scotland,174.25694179573316,55.75315391726281,-4.359570962038397
S12000013,Eilean Siar,LAD,Scotland,3098.2675970293494,57.92616488262283,-6.851845611287489
S12000014,Falkirk,LAD,Scotland,297.3207236806701,55.995189029252074,-3.7979086998204648
S12000015,Fife,LAD,Scotland,1325.1788452579744,56.22848657472161,-3.126745368628017
S12000017,Highland,LAD,Scotland,26161.35807190752,57.57869644815352,-4.759299689170171
S12000018,Inverclyde,LAD,Scotland,161.93531212053372,55.901188245927415,-4.74364967117667
S12000019,Midlothian,LAD,Scotland,355.27435977223865,55.83222126861354,-3.1103779557169693
S12000020,Moray,LAD,Scotland,2237.749753721237,57.474289314209415,-3.2649183414515415
S12000021,North Ayrshire,LAD,Scotland,885.4435201390036,55.65105666913038,-4.979604213326872
S12000023,Orkney Islands,LAD,Scotland,1013.9665886420277,59.02470833538507,-3.0475788818516536
S12000024,Perth and Kinross,LAD,Scotland,5383.629567800402,56.56688785938198,-3.8241541779002577
S12000026,Scottish Borders,LAD,Scotland,4739.157589579852,55.576245807816576,-2.7881591530893357
S12000027,Shetland Islands,LAD,Scotland,1467.2578340604684,60.38034240828174,-1.2552593085988335
S12000028,South Ayrshire,LAD,Scotland,1224.0594055344784,55.267704742331844,-4.688011074229722
S12000029,South Lanarkshire,LAD,Scotland,1773.9281408291024,55.61280775877293,-3.8109789189471392
S12000030,Stirling,LAD,Scotland,2253.4702412734014,56.24439692392635,-4.341301710535317
S12000033,Aberdeen City,LAD,Scotland,185.70767854844078,57.15715882576943,-2.1867417167794825
S12000034,Aberdeenshire,LAD,Scotland,6317.992746883513,57.24147088766722,-2.630913946859882
S12000035,Argyll and Bute,LAD,Scotland,7007.014954124305,56.12331724143065,-5.495396352208683
S12000036,City of Edinburgh,LAD,Scotland,263.33958352207947,55.92430382923986,-3.2884503388128175
S12000038,Renfrewshire,LAD,Scotland,261.45864187108435,55.84568687148399,-4.543441693322492
S12000039,West Dunbartonshire,LAD,Scotland,177.27077595516536,55.98651700486176,-4.5166966490742535
S12000040,West Lothian,LAD,Scotland,428.82768897897756,55.88428266559745,-3.574425118487095
S12000041,Angus,LAD,Scotland,2185.3204545643853,56.724873933026764,-2.920515415265753
S12000042,Dundee City,LAD,Scotland,59.83294993859094,56.477977512527254,-2.9704334972074897
S12000044,North Lanarkshire,LAD,Scotland,472.2676634557805,55.87482886563735,-3.9484041340978058
S12000045,East Dunbartonshire,LAD,Scotland,174.47358864960728,55.956033917284316,-4.225561289993782
S12000046,Glasgow City,LAD,Scotland,174.6957061732222,55.85784341160645,-4.252494783120735
W06000001,Isle of Anglesey,LAD,Wales,714.482285771835,53.287298146876246,-4.373923404228564
W06000002,Gwynedd,LAD,Wales,2548.316419789677,52.893035587905736,-4.021466837381236
W06000003,Conwy,LAD,Wales,1130.2752619231935,53.13799618637831,-3.7345108906786555
W06000004,Denbighshire,LAD,Wales,838.5260000626429,53.08987278734477,-3.35330633857279
W06000005,Flintshire,LAD,Wales,437.49414129007954,53.20820969479896,-3.160184222431421
W06000006,Wrexham,LAD,Wales,503.68436758244815,52.99026131913065,-3.0176980097039774
W06000008,Ceredigion,LAD,Wales,1789.0662239294927,52.25429594103577,-4.071675963357751
W06000009,Pembrokeshire,LAD,Wales,1618.6339991940556,51.8557986806619,-4.88582246443481
W06000010,Carmarthenshire,LAD,Wales,2371.149482422776,51.90504241469743,-4.157697728751323
W06000011,Swansea,LAD,Wales,379.67894368605374,51.64348812869746,-4.05136069645716
W06000012,Neath Port Talbot,LAD,Wales,442.3056096135436,51.681559005946085,-3.7415303206235158
W06000013,Bridgend,LAD,Wales,250.78381025299328,51.55695524864583,-3.5983563413882322
W06000014,Vale of Glamorgan,LAD,Wales,330.9189146752624,51.445729842889676,-3.3993387144965936
W06000015,Cardiff,LAD,Wales,140.4443897679635,51.510786535840516,-3.2039791830087117
W06000016,Rhondda Cynon Taf,LAD,Wales,424.134171745974,51.65045058053648,-3.43568886726712
W06000018,Caerphilly,LAD,Wales,277.3523145168297,51.65332943087683,-3.20496835616589
W06000019,Blaenau Gwent,LAD,Wales,108.72554142339145,51.766745307349304,-3.193857501072903
W06000020,Torfaen,LAD,Wales,126.22241354653966,51.69863840078626,-3.053469174776909
W06000021,Monmouthshire,LAD,Wales,850.2712088903684,51.766101577704674,-2.87235940210488
W06000022,Newport,LAD,Wales,190.50881029558062,51.57933497550686,-2.9658838017794453
W06000023,Powys,LAD,Wales,5195.363540846624,52.32560444993499,-3.409735840123457
W06000024,Merthyr Tydfil,LAD,Wales,111.93028242957627,51.74096434160786,-3.3611020231350004
